Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
San Marino,,,,,,,,,,,,,,,,,,,7.5,9,2.2,5.5,0.3,3.9,4.6,2.4,3.8,7.1,-0.4,-10.1,-5.8,-8.5,-7.2,-0.8,-0.6,2.7,2.3,0.3,1.5,2.1,-6.6,5.2,1.3,1.1,1.3,1.3,1.3,1.3
Saudi Arabia,5.7,1.9,-20.7,-16.1,-4.7,-9.8,17,-6.6,13.1,-0.5,15.2,15,4,-1.4,0.6,0.2,2.6,1.1,2.9,-3.8,5.6,-1.2,-2.8,11.2,8,5.6,2.8,1.8,6.2,-2.1,5,10,5.4,2.7,3.7,4.1,1.7,-0.7,2.5,0.3,-4.1,3.2,7.6,3.6,2.7,2.7,2.7,2.8
Senegal,-0.8,5.1,7.8,-5.3,3.7,3.3,3.1,6.1,-0.6,4,-0.7,2.6,1.2,1.3,-0.2,6.1,1.9,2.7,6,6,3.9,4.3,0.1,5.6,4.6,4.3,2.3,2.8,3.7,2.8,3.4,1.3,4,2.4,6.2,6.4,6.4,7.4,6.2,4.6,1.3,6.1,5,9.2,10,5.6,5.7,4
Serbia,,,,,,,,,,,,,,,,,,,2.4,-12.1,7.8,5,7.1,4.4,9,10.2,5.1,6.4,5.7,-2.7,0.7,2,-0.7,2.9,-1.6,1.8,3.3,2.1,4.5,4.3,-0.9,7.4,3.5,4,4,4,4,4
Seychelles,-2.3,-3.9,-2.1,-0.6,4.3,10.3,0.8,4.9,5.3,10.3,7.5,2.8,7.2,7.3,-2.4,0.5,10,12.2,2.5,1.9,4.3,-2.3,1.2,-5.9,-2.9,9,9.4,10.4,-2.1,-1.1,6.3,5.7,3.8,6.4,4.7,5.6,5.4,4.5,3.2,3.1,-7.7,8,4.6,5.6,5,4.5,4.5,4.5
Sierra Leone,-0.6,1.9,1.8,-1.6,1.7,-6.7,0.1,2.4,2.1,5,1.6,-8,-9.6,0.1,3.5,-10,-24.8,-17.6,-0.8,-8.1,3.8,18.2,26.4,9.3,6.6,4.5,4.2,8.1,5.4,3.2,5.3,6.3,15.2,20.7,4.6,-20.5,6.4,3.8,3.5,5.3,-2,3.2,3.4,4.3,4.9,5.1,4.4,4.3
Singapore,10.1,10.8,7.1,8.6,8.8,-0.6,1.3,10.8,11.3,10.2,9.8,6.7,6.6,11.5,11.1,7.2,7.5,8.3,-2.2,5.7,9,-1.1,3.9,4.5,9.9,7.4,9,9,1.9,0.1,14.5,6.2,4.4,4.8,3.9,3,3.6,4.7,3.7,1.1,-4.1,7.6,4,2.9,2.6,2.5,2.5,2.5
Slovak Republic,,,,,,,,,,,,,,,6.2,7.9,6.9,4.4,4.1,-0.1,1.2,3.3,4.5,5.5,5.3,6.6,8.5,10.8,5.6,-5.5,5.9,2.8,1.9,0.7,2.6,4.8,2.1,3,3.8,2.6,-4.4,3,2.6,5,3.8,3.8,2.9,2.8
Slovenia,,,,,,,,,,,,,,2.8,5.3,4.1,3.6,5,3.3,5.3,3.7,3.2,3.5,3,4.4,3.8,5.7,7,3.5,-7.5,1.3,0.9,-2.6,-1,2.8,2.2,3.2,4.8,4.4,3.3,-4.2,8.1,3.7,3,2.9,2.9,2.8,2.7
Solomon Islands,-2.7,-1.8,-1.7,3.9,0.2,-3.1,-0.2,8.4,1.3,4.3,2.2,6,12.7,4,8.1,10.1,1.6,-0.9,1.3,-0.5,-14.3,-8,-2.8,6.5,6.7,5.5,4.9,4.4,5.8,2.6,8.6,7.3,1.9,5.3,1,1.4,5.9,5.3,3.9,1.2,-4.3,-0.2,-4,3.2,3.1,3,3,3
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,5.8,2.5,4.4,4.6,2.4,3.8,3.3,-0.3,2,3,3.6,3.7,3.9,4,4.1
South Africa,,,,,,,,,,,,,,1.2,3.2,3.1,4.3,2.6,0.5,2.4,4.2,2.7,3.7,2.9,4.6,5.3,5.6,5.4,3.2,-1.5,3,3.2,2.4,2.5,1.4,1.3,0.7,1.2,1.5,0.1,-6.4,4.9,1.9,1.4,1.4,1.4,1.4,1.4
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52.4,29.3,2.9,-0.2,-13.5,-5.8,-1.9,0.9,-6.6,5.3,6.5,5.6,4.6,4.6,4.4,4.4
Spain,1.2,-0.4,1.2,1.7,1.7,2.4,3.4,5.7,5.3,5,3.8,2.5,0.9,-1.3,2.3,4.1,2.4,3.9,4.5,4.7,5.1,3.9,2.7,3,3.1,3.7,4.1,3.6,0.9,-3.8,0.2,-0.8,-3,-1.4,1.4,3.8,3,3,2.3,2.1,-10.8,5.1,4.8,3.3,3.1,2,1.7,1.6
Sri Lanka,5.8,5.3,5.2,3.3,6.7,5,4.3,1.5,2.7,2.3,6.2,10.8,-3.1,7.5,8,6.1,12.2,10.3,-1.6,2.9,8.4,-1.9,3.7,5.9,5.4,6.2,7.7,6.8,6,3.5,8,8.4,9.1,3.4,5,5,4.5,3.6,3.3,2.3,-3.6,3.6,2.6,2.7,2.8,2.8,2.8,2.9
Sudan,2.5,6.3,4.1,-1.5,-5.6,-0.6,9.9,6.5,4.3,1.4,0.8,7,5.5,2.8,3.5,8.9,5.5,6.1,8.2,4.2,8.4,10.9,5.9,6.3,5.1,5.6,6.5,5.7,3.8,-2.8,3.9,-3.2,-17,2,4.7,4.9,4.7,0.8,-2.3,-2.5,-3.6,0.5,0.3,3.9,5.6,6.8,6.5,6
Suriname,-6.5,1.9,-6.3,-5.1,-3,-0.9,-2.4,-8.8,10.8,2.3,-1.5,-13.8,3.9,-2.2,-7,11.3,11.2,7,2.2,-0.9,-0.1,4.9,3.7,6.2,7.3,4.9,5.8,5.1,4.1,3,5.2,5.8,2.7,2.9,0.3,-3.4,-4.9,1.6,4.9,1.1,-15.9,-3.5,1.8,2.1,2.7,3,3,3
Sweden,4.6,4.5,1.4,2.1,4.3,2.3,3,3.3,2.5,2.7,0.8,-1.1,-0.9,-1.8,3.9,3.9,1.6,3.1,4.3,4.2,4.8,1.4,2.2,2.3,4.3,2.9,4.7,3.4,-0.5,-4.3,6,3.2,-0.6,1.2,2.7,4.5,2.1,2.6,2,2,-2.9,4.8,2.9,2.7,2.3,2,2,2
Switzerland,5.1,1.6,-1.4,0.6,3.2,3.8,1.8,1.6,3.2,4.5,3.7,-0.8,-0.2,-0.2,1.3,0.6,0.6,2.2,3,1.7,4.1,1.6,0,-0.1,2.6,2.9,4.1,4.1,2.7,-2.1,3.2,1.9,1.3,1.9,2.4,1.6,2,1.7,2.9,1.2,-2.5,3.7,2.2,1.4,1.8,1.2,1.8,1.2
Syria,10.5,8.5,2.6,1.6,-6.5,7.3,-4.8,1.3,12.7,-6.1,10.4,10.7,13.2,7.4,5.5,5.4,3,-1.1,5.6,-3.1,2.3,3.7,5.9,-2,6.9,6.2,5,5.7,4.5,5.9,3.4,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,-1.1,-10.3,3.1,-3.9,-6,9.3,-5.8,-2.9,2,3.1,-2.2,1.2,0.7,1.1,2.2,2,1.5,1,2.5,2.5,0.4,2.4,2.4,6.6,3.8,7.1,9.1,3.3,8.2,2.4,6.7,4.4,3.1,4.8,6.5,3.8,4.2,3.9,3,2.2,3,1.8,1.6,2.8,3.5,3.7,4,4
Taiwan Province of China,8,7.1,4.8,9,10,4.8,11.5,12.8,8,8.7,5.5,8.4,8.3,6.8,7.5,6.5,6.2,6.1,4.2,6.7,6.3,-1.4,5.5,4.2,7,5.4,5.8,6.9,0.8,-1.6,10.2,3.7,2.2,2.5,4.7,1.5,2.2,3.3,2.8,3.1,3.4,6.3,3.2,2.9,2.2,2.1,2.1,2.1
Tajikistan,,,,,,,,,,,,,,-11.1,-21.4,-12.5,-4.4,1.7,5.3,3.7,8.3,10.2,9.1,10.2,10.6,6.7,7,7.8,7.9,3.9,6.5,7.4,7.5,7.4,6.7,6,6.9,7.1,7.6,7.4,4.4,9.2,2.5,3.5,4,4,4,4
Tanzania,3.3,0.5,0.6,2.4,3.4,4.6,6.6,5.9,4.4,3.8,7,2.1,0.6,1.2,1.6,3.6,4.5,3.5,3.7,4.8,4.9,6,7.2,6.9,7.8,7.4,4.7,8.5,5.6,5.4,6.4,7.9,5.1,6.8,6.7,6.2,6.9,6.8,7,7,4.8,4.9,4.8,5.2,5.9,5.9,6,6
Thailand,4.6,5.9,5.4,5.6,5.8,4.6,5.5,9.5,13.3,12.2,11.6,8.4,9.2,8.7,8,8.1,5.7,-2.8,-7.6,4.6,4.5,3.4,6.1,7.2,6.3,4.2,5,5.4,1.7,-0.7,7.5,0.8,7.2,2.7,1,3.1,3.4,4.2,4.2,2.2,-6.2,1.6,3.3,4.3,3.8,3.3,3.2,3.1
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,16.3,-6.7,-2.2,0.4,3,-4.1,10.3,11.4,10.1,9.3,6,4.9,3.1,4.5,2.8,3.4,-3.1,-0.7,2.1,-8.6,1.8,2,3.6,2.6,2.4,2.4,3
Togo,-2.3,-3.4,-3.7,-5.2,5.9,3.7,3.3,-2.5,10.1,4.1,5.9,-0.6,-3.2,-16.3,13.9,19.7,-3.9,3.8,-2.3,2.5,-1,0.8,3.8,6.7,-1,-4.7,2.7,-1.2,4.1,5.5,6.1,6.4,6.5,6.1,5.9,5.7,5.6,4.3,5,5.5,1.8,5.1,5.6,6.2,6.5,6.5,6.5,6.5
Tonga,15.8,14,12.8,5.8,44.1,5.6,8.8,1.7,-3.5,1.1,4.7,5.9,-3.8,-0.1,2,7.9,0.1,-0.6,2.3,2.3,3.8,1.5,4.5,0.1,-1.9,-0.4,-2.2,-2.5,4.8,-5.2,0.8,6.8,0.8,0.3,2,1.2,6.6,3.3,0.3,0.7,0.7,-0.7,-1.6,3,3,2.5,1.8,1.8
Trinidad and Tobago,10.4,4.6,3.8,-10.3,-5.8,-4.1,-3.3,-4.6,-3.9,-0.8,1.5,3.1,10.1,-0.7,3.6,3.8,7.1,7.5,8.1,8,6.9,3.7,7.2,13.9,7.3,5.9,14.2,4.3,3.3,-4.8,3.5,-0.2,-0.6,2.3,-0.9,1.8,-6.3,-2.7,-0.7,-0.2,-7.4,-1,5.5,3,3.4,1.1,1,1
Tunisia,7.4,5.5,-0.5,4.7,5.7,5.7,-1.5,6.7,0.1,2.6,7.1,4.1,8,2.5,3.6,2.7,6.9,5.7,5,6,4.3,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3,3.5,-2,4.2,2.4,3.1,1,1.1,2.2,2.5,1.5,-9.3,3.1,2.2,,,,,
Turkey,-0.8,4.4,3.4,4.8,6.8,4.3,6.9,10,2.1,0.3,9.3,0.9,6,8,-5.5,7.2,7,7.5,3.1,-3.3,6.9,-5.8,6.4,5.8,9.8,9,6.9,5,0.8,-4.8,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3,0.9,1.8,11,2.7,3,3.7,3.3,3.3,3.3
Turkmenistan,,,,,,,,,,,,,,-10,-17.3,-7.2,-6.7,-11.3,6.7,16.5,18.6,20.4,15.8,17.1,14.7,13,11,11.1,14.7,6.1,16.2,12.9,6.1,-0.3,3.8,3,-1,4.7,0.9,-3.4,-3,4.9,1.6,2.5,2,1.9,1.7,1.8
Tuvalu,,,,,,,,,,,,,,,,,,,,,,0.7,8.3,-4.4,-1.9,-3.7,1.3,6.9,6.6,-5.6,-2.5,7.5,-2.9,3.8,1.7,9.4,4.7,3.4,1.6,13.9,1,2.5,3,3.5,4,3.8,3.7,3.5
Uganda,-3.4,3.9,8.2,4.9,-3,-3,0.9,4,8.3,6.4,6.5,1.8,5.9,6.7,7.7,9.2,6.6,4.6,6.1,8,3.9,8.8,7.1,6.2,5.8,10,7,8.1,10.4,8.1,7.5,7.7,2.3,3.9,5.7,8,0.2,6.8,5.6,7.7,-1.4,5.1,4.9,6.5,6.1,7.6,6.8,6.8
Ukraine,,,,,,,,,,,,,-9.9,-14.2,-22.9,-12.2,-10,-3,-1.9,-0.2,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,4.1,5.5,0.2,0,-6.6,-9.8,2.4,2.4,3.5,3.2,-3.8,3.4,-35,,,,,
United Arab Emirates,-1.8,8,-7.2,-5.2,4.5,-2.5,-19.3,5.3,-2.6,15.7,23.6,2.1,3.1,0,7.4,6.6,5.3,8.6,0.8,3.8,12.3,1.3,2.5,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,1.6,6.9,4.5,5.1,4.3,5.1,3.1,2.4,1.2,3.4,-6.1,2.3,4.2,3.8,3.8,3.9,4,4.2
United Kingdom,-2.1,-0.7,2,4.2,2.2,4.1,3.2,5.4,5.6,2.4,0.6,-1.2,0.3,2.4,3.8,2.4,2.4,4.9,3.2,3,3.7,2.1,2.1,3,2.4,2.6,2.6,2.3,-0.2,-4.2,2.1,1.5,1.5,1.9,3,2.6,2.3,2.1,1.7,1.7,-9.3,7.4,3.7,1.2,1.4,2.2,1.8,1.5
United States,-0.3,2.5,-1.8,4.6,7.2,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.5,2.8,4,2.7,3.8,4.4,4.5,4.8,4.1,1,1.7,2.8,3.9,3.5,2.8,2,0.1,-2.6,2.7,1.5,2.3,1.8,2.3,2.7,1.7,2.3,2.9,2.3,-3.4,5.7,3.7,2.3,1.4,1.7,1.7,1.7
Uruguay,6,1.9,-9.3,-3.3,-1.1,1.5,8.9,7.9,1.5,1.1,0.3,3.5,7.9,2.7,7.3,-1.4,5.6,5.6,4.5,-1.9,-1.9,-3.8,-7.7,0.8,5,7.5,4.1,6.5,7.2,4.2,7.8,5.2,3.5,4.6,3.2,0.4,1.7,1.6,0.5,0.4,-6.1,4.4,3.9,3,2.7,2.5,2.2,2.2
Uzbekistan,,,,,,,,,,,,,-11.1,-2.3,-5.2,-0.9,1.7,5.2,4.3,4.3,3.8,4.2,4,4.2,7.4,7,7.5,9.5,9,8.1,7.1,7.5,7.1,7.3,6.9,7.2,5.9,4.4,5.4,5.7,1.9,7.4,3.4,5,5,5.5,5.5,5.5
Vanuatu,5.5,4.4,2,3,9.6,1,-0.1,-2.9,-1.7,1.5,11.7,3.1,2.6,0.7,9.1,1,2.3,4.9,1.2,0.3,5.9,-3.4,-5.2,4.3,4,5.3,8.5,2.9,5.6,3,1.3,3.1,1,0.5,3.1,0.4,4.7,6.3,2.9,3.2,-5.4,0.5,2.2,3.4,3.5,3.8,3,2.9
Venezuela,-4.9,-1.3,2.6,-9.9,5.2,0.9,6.1,4.8,6.5,-13.9,6.5,9.7,6.1,0.3,-2.3,4,-0.2,6.4,0.3,-6,3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,-1.5,4.2,5.6,1.3,-3.9,-6.2,-17,-15.7,-19.6,-35,-30,-1.5,1.5,1.5,,,,
Vietnam,-3.5,5.8,8.2,7.1,8.4,5.6,3.4,2.5,5.1,7.8,5,5.8,8.7,8.1,8.8,9.5,9.3,8.2,5.8,4.8,6.8,6.9,7.1,7.3,7.8,7.5,7,7.1,5.7,5.4,6.4,6.4,5.5,5.6,6.4,7,6.7,6.9,7.2,7.2,2.9,2.6,6,7.2,7,6.9,6.8,6.7
West Bank and Gaza,,,,,,,,,,,,,,,,7.1,1.2,14.7,14.3,8.3,-8.6,-9.3,-12.5,14,21.9,11.3,-1,3.8,7.4,8.6,5.8,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,1.4,-11.3,6,4,3.5,2.4,2,2,2
Yemen,,,,,,,,,,,,6.3,8.2,4,6.7,5.7,4.6,5.2,6,3.8,6.2,3.8,3.9,3.7,4,5.6,3.2,3.3,3.6,3.9,7.7,-12.7,2.4,4.8,-0.2,-28,-9.4,-5.1,0.8,1.4,-8.5,-2,1,2.5,7,6.5,6,5.5
Zambia,3.9,6.6,-2.9,-1.1,-1.7,1.2,1.7,1.5,9.3,-3.7,-0.6,-0.7,2.1,-0.1,-13.3,2.9,6.2,3.8,-0.4,4.7,3.9,5.3,4.5,6.9,7,7.2,7.9,8.4,7.8,9.2,10.3,5.6,7.6,5.1,4.7,2.9,3.8,3.5,4,1.4,-2.8,4.3,3.1,3.6,4,4.2,4.4,4.8
Zimbabwe,,,,,,,,,,,,,,,,,,,,-1.1,-4.2,-0.5,-7.7,-16.2,-6.3,-7.4,-3.6,-3.4,-16.3,7.4,19.7,14.2,16.7,2,2.4,1.8,0.5,5,4.7,-6.1,-5.3,6.3,3.5,3,3.1,3.1,3.1,3
Africa (Region),,,,,,,,,,,,2.2,0.3,0.9,2.4,2.7,5,3.3,3.9,3.1,4.2,4.2,5,5.4,5.8,6,5.8,6.1,4.4,3.1,5.8,2.8,6.9,3.5,3.8,3.4,2.2,3.7,3.5,3.3,-1.6,6.9,3.9,4.1,4.2,4.3,4.3,4.5
Asia and Pacific,4.4,5.2,4.2,5.5,6.5,5.8,5.4,6.8,7.8,5.4,5.6,4.9,5.5,5.2,5.5,6.4,6.5,4.7,1.4,4.5,5.7,3.7,5.1,6.1,6.9,7.3,7.7,8.6,5,4.2,8.3,6.4,5.6,5.8,5.5,5.6,5.4,5.7,5.3,4.2,-1.1,6.7,4.7,4.9,4.8,4.7,4.6,4.5
Australia and New Zealand,2.6,3.9,0.5,-0.4,6.4,4.8,2.4,4.5,3.7,4,1.3,-1,2.3,4.1,4.9,3.2,4,4.3,4.1,4.4,3.3,2.7,4.2,3.2,4.2,3,2.6,4.2,2.2,1.5,2.4,2.7,3.6,2.2,2.7,2.5,2.9,2.5,2.9,2.1,-2.2,4.8,4,2.5,2.2,2.2,2.5,2.5
Caribbean,4.3,2.2,0.2,-1.9,-0.3,-0.1,1.9,1.6,0.4,1.7,1.6,0.6,2.4,0,-0.5,5,4.2,3.6,3.1,3.8,3.2,1.7,2.8,5.8,3.2,3.4,6.6,3.6,1.8,-1.6,0.1,2,0.6,1.9,0.8,1.5,-0.5,0.8,1.7,0.4,-4.1,3.5,10.5,9.1,2.7,2.2,2.1,2.1
Central America,2.3,1.7,-1.7,0.8,2,0.1,1.9,4.3,0.4,3.3,1.5,2.8,7.2,5.4,3.2,4.5,3.9,5.6,5.4,4.1,3.6,2.2,3.4,2.1,3.8,5.6,7,7,4.4,-0.1,5.2,5.1,4.5,4.2,4.8,4.9,4.5,4.3,3.9,3.3,-7.1,11,4.8,4,4,4,4,4.1
Central Asia and the Caucasus,,,,,,,,,,,,,,2.1,-7.4,3.6,5.5,6.5,2.8,-1,7.2,-0.9,7.1,6.9,9.5,9.8,9,7.6,3,-1,8,9.4,5.1,7.4,4.8,4.9,2.8,6.3,3.2,2,0.5,9.3,2.7,3.4,3.8,3.6,3.4,3.4
East Asia,4.2,4.8,4.8,6,7.7,7.3,5.7,7.7,8.4,5,5,5.9,5.7,5.2,6.2,6.4,6.2,5,2.3,4.5,6.1,4.2,5.3,5.9,6.8,7.3,8.1,9.4,5.6,4.4,8.7,6.7,5.8,6,5.5,5.3,5.1,5.5,5.2,4.4,0.9,6.7,3.9,4.4,4.2,4.1,4,4
Eastern Europe ,-0.9,-2.6,0.5,4.5,2.8,1.6,3.1,2.4,1.4,0.1,-6.4,-10.2,-11.3,-6.8,-8.3,-1.6,-0.6,1.7,-1.3,3.7,7.2,4.5,4.3,6.1,7.2,5.7,7.5,7.7,4.8,-6.1,3.4,4.3,2.5,1.5,1.1,-0.1,1.6,3.1,3.6,3.1,-3.2,5,-4.2,1,2.6,2.3,2.1,2.1
Europe,1.4,0.1,0.7,2,2.5,2.5,2.7,2.9,3.9,3.4,2.4,1,-1.9,-1.8,0.3,1.6,1.3,2.8,2.1,3.1,4.6,2.7,1.8,2.3,3.5,2.9,4.3,4.1,1.6,-4.8,2.5,2.4,0.4,0.6,1.5,1.6,1.8,2.7,2.3,2,-5.6,5.4,1,1.8,2,1.8,1.7,1.6
Middle East (Region),-3.5,0.4,-2.4,-1.1,-1.4,-1.7,1.9,-0.5,2.8,4.3,12.2,10.6,7.3,1.6,1.9,2.7,4.2,3.2,2.9,1.1,6.1,0.8,2.3,12.4,10.5,4.7,5.9,5.2,4.5,0.3,5.2,6.4,3.7,2.8,3.6,2,4.9,0.6,1.3,0.9,-4.1,3.5,5.4,3.3,2.8,2.8,2.8,2.9
North Africa,0.3,-4,5.3,3.4,3.2,5.2,0.2,-0.9,3.3,4.2,2.6,4.5,0.3,-0.1,3.1,0.5,5.2,2.8,5.6,4,4.3,3.1,3.2,6,4.4,5.7,5.4,5.6,2.7,2.9,4.3,-0.3,12.1,1.2,1.6,3.6,3.1,5.4,4.4,4.2,-1.4,11.8,4.3,4.3,4.2,4.4,4.4,4.5
North America,1,3.3,-1.8,3.5,6.7,4,2.7,3.3,3.9,3.6,2.1,0.2,3.3,2.8,4.2,1.8,3.9,4.7,4.5,4.6,4.2,0.9,1.6,2.6,3.8,3.3,2.9,2,0.3,-2.9,3,1.9,2.4,1.8,2.4,2.6,1.7,2.3,2.8,2,-4,5.5,3.6,2.3,1.5,1.7,1.7,1.7
Pacific Islands ,-1.9,2.5,0.3,1,3.9,1.1,5.6,-0.1,2.8,4,0.5,5,10.6,9.1,8.6,-0.6,5.7,-4.4,3.4,3.7,-2.1,0.4,1,6.1,2.3,2.7,2.4,4.8,0.6,4,7.7,1.9,3.4,3.9,10.4,5.7,4.8,4,1,3.1,-6.1,0.2,4.7,5,3.8,3.3,3.1,3.1
South America,5.7,-2.3,-0.4,-2.8,4.4,4,7.1,3.9,1.1,-0.1,-1.3,3.9,3,4.5,4.9,3.7,2.7,4.8,1.2,-1.3,3.2,0.9,0.3,2.1,7.3,5.1,5.7,6.7,5,-1,6.7,4.9,2.6,3.3,0.5,-1.1,-2.4,0.8,0.5,-0.2,-6.5,7.2,2.3,2.1,2.5,2.3,2.4,2.4
South Asia,5.3,6,4.2,6.8,4,5.7,5,4.1,8.4,5.5,5.3,2.3,5.5,4.3,6.2,6.9,7.3,4,5.4,7.4,4.2,4.3,3.8,7.3,7.6,8.9,8.6,8.9,4.2,7.1,9,6.3,5.4,6,6.9,7.4,7.6,6.6,6.5,4,-5.5,8.4,7.5,6.5,6.7,6.7,6.3,6
Southeast Asia,7,6.5,4.1,4.6,4.9,1.7,5,6.5,8.4,9.1,8.4,7.3,6.7,7.8,7.7,8,7.5,4.1,-7.5,3.3,5.8,3.3,5.1,5.8,6.5,5.7,6,6.6,5.2,2.4,7.4,5,6.1,5.1,4.8,4.9,5.1,5.4,5.3,4.7,-3.2,3.1,5.1,5.6,5.4,5.1,5,4.9
Sub-Saharan Africa (Region) ,,,,,,,,,,,,0.5,0.2,1.7,1.9,4.2,4.8,3.6,2.8,2.5,4.2,5,6.2,4.9,6.7,6.2,6.1,6.4,5.5,3.3,6.7,4.5,3.8,4.8,5,3.3,1.7,2.9,3,2.9,-1.7,4.3,3.7,4,4.3,4.3,4.3,4.4
Western Europe,1.7,0.4,0.7,1.8,2.5,2.6,2.7,3,4.2,3.8,3.2,1.9,1.2,-0.2,2.7,2.5,1.8,3.1,3.1,3,3.9,2.1,1.1,1,2.3,1.9,3.2,2.8,0.3,-4.3,2.2,1.6,-0.4,0.2,1.7,2.3,1.9,2.5,1.8,1.6,-6.5,5.6,3,2.1,1.8,1.7,1.5,1.4
Western Hemisphere (Region),2.2,2,-1.4,2.1,6.1,3.9,3.7,3.5,3.3,2.8,1.4,1,3.3,3.1,4.3,2.3,3.7,4.7,3.9,3.5,4,1,1.4,2.5,4.5,3.7,3.5,3.1,1.4,-2.4,3.8,2.6,2.4,2.2,2,1.8,0.9,2,2.4,1.6,-4.6,5.9,3.4,2.3,1.7,1.9,1.9,1.9
ASEAN-5,6.8,6.3,3.9,4.4,4.7,1.8,5.3,6.4,8.4,9.2,8.4,7.4,6.8,7.7,7.6,8.1,7.5,3.8,-8.1,3,5.5,3.4,5.1,5.7,6,5.4,5.5,6.2,5.4,2.5,6.9,4.8,6.2,5,4.7,5,5.1,5.5,5.4,4.9,-3.4,3.4,5.3,5.9,5.6,5.3,5.3,5.1
Advanced economies,1.3,2,0.2,3.2,4.9,3.7,3.3,3.8,4.8,4,3.1,1.6,2.2,1.3,3.3,2.9,3.1,3.5,2.8,3.6,4.1,1.5,1.7,2,3.3,2.8,3.1,2.7,0.3,-3.3,3.2,1.8,1.2,1.4,2,2.3,1.8,2.5,2.3,1.7,-4.5,5.2,3.3,2.4,1.7,1.7,1.6,1.6
Emerging and Developing Asia,6.4,5.9,5.1,7,7.6,6.7,6.1,7.2,9.4,6.3,5.9,6.2,8.9,9.1,9.3,8.9,8.4,6.2,2.8,6.5,6.5,6,6.7,8.3,8.4,9.3,10.1,11.2,7.3,7.6,9.6,7.9,7,6.9,6.9,6.8,6.8,6.6,6.4,5.3,-0.8,7.3,5.4,5.6,5.6,5.5,5.4,5.2
Emerging and Developing Europe,-0.9,-0.6,1.4,4.5,4.1,2.4,4.4,5,1.7,0.2,-0.4,-5.6,-8.7,-4.4,-8.3,-0.2,0.4,2.7,-0.7,2.6,7.4,2.7,4.8,6.2,7.8,6.2,7.4,7.2,4.3,-5.7,4.5,5.8,3.1,3.1,1.8,1,1.9,4.1,3.4,2.5,-1.8,6.7,-2.9,1.3,2.8,2.5,2.4,2.4
Emerging market and developing economies,3.3,1.8,1.5,1.7,4.1,3.5,4.2,4,4.5,3.5,4.1,4.5,2.5,3,3.1,4,5.1,4.7,2.3,3.5,5.7,3.6,4.5,6.9,7.9,7.1,7.9,8.4,5.6,2.8,7.4,6.4,5.4,5,4.7,4.3,4.4,4.7,4.6,3.7,-2,6.8,3.8,4.4,4.6,4.5,4.4,4.3
Euro area,,,,,,,,,,,,,1.4,-0.8,2.5,2.9,1.6,2.6,3,2.9,3.8,2.2,0.9,0.6,2.3,1.7,3.2,3,0.4,-4.5,2.1,1.7,-0.9,-0.2,1.4,2,1.9,2.6,1.8,1.6,-6.4,5.3,2.8,2.3,1.8,1.6,1.5,1.3
European Union,1.8,0.1,0.6,1.7,2.5,2.2,2.7,2.6,3.8,3.6,2.7,1.4,1,-0.6,2.6,2.8,2,2.6,3,2.9,3.9,2.3,1.3,1.1,2.8,2.1,3.7,3.4,0.9,-4.2,2.1,1.9,-0.7,0,1.7,2.5,2.1,3,2.2,2,-5.9,5.4,2.9,2.5,2.1,1.9,1.8,1.7
Latin America and the Caribbean,6.4,0.9,-0.5,-2.8,3.9,3.2,4.3,3.3,1.1,1.1,0.6,3.9,3.3,4,4.7,1.3,3.8,5.3,2.5,0.2,3.7,0.6,0.4,2,6.1,4.4,5.5,5.6,4,-2,6.1,4.6,2.9,2.9,1.3,0.4,-0.6,1.4,1.2,0.1,-7,6.8,2.5,2.5,2.5,2.4,2.4,2.4
Major advanced economies (G7),0.9,2,-0.1,3.3,5,3.8,3.1,3.5,4.7,3.8,2.8,1.2,2.1,1.2,3,2.5,2.8,3.2,2.9,3.2,3.7,1.2,1.2,1.9,2.9,2.5,2.6,2,-0.1,-3.7,2.9,1.6,1.4,1.4,1.8,2.1,1.5,2.2,2.1,1.6,-4.9,5.1,3.2,2.2,1.4,1.5,1.4,1.4
Middle East and Central Asia,-1.9,-0.3,0.4,0.6,0.2,1.1,1.9,-0.1,3.3,4.3,8.7,8.5,5,0.2,1.3,1.8,4.5,3,3.6,2.3,5.5,2.3,3.2,10.1,8.8,5.9,6.4,5.9,4.4,1.2,4.9,4.6,5.4,2.8,3.3,2.8,4.1,2.4,2.7,2.2,-2.9,5.7,4.6,3.7,3.5,3.7,3.6,3.7
